County,Year,Month Code,Cases
Maricopa,2000,1.0,166
Maricopa,2000,2.0,132
Maricopa,2000,3.0,126
Maricopa,2000,4.0,87
Maricopa,2000,5.0,109
Maricopa,2000,6.0,124
Maricopa,2000,7.0,123
Maricopa,2000,8.0,118
Maricopa,2000,9.0,62
Maricopa,2000,10.0,141
Maricopa,2000,11.0,109
Maricopa,2000,12.0,88
Maricopa,2001,1.0,104
Maricopa,2001,2.0,72
Maricopa,2001,3.0,90
Maricopa,2001,4.0,77
Maricopa,2001,5.0,83
Maricopa,2001,6.0,90
Maricopa,2001,7.0,115
Maricopa,2001,8.0,130
Maricopa,2001,9.0,108
Maricopa,2001,10.0,103
Maricopa,2001,11.0,307
Maricopa,2001,12.0,437
Maricopa,2002,1.0,255
Maricopa,2002,2.0,180
Maricopa,2002,3.0,162
Maricopa,2002,4.0,224
Maricopa,2002,5.0,181
Maricopa,2002,6.0,150
Maricopa,2002,7.0,173
Maricopa,2002,8.0,166
Maricopa,2002,9.0,127
Maricopa,2002,10.0,166
Maricopa,2002,11.0,231
Maricopa,2002,12.0,320
Maricopa,2003,1.0,222
Maricopa,2003,2.0,138
Maricopa,2003,3.0,135
Maricopa,2003,4.0,130
Maricopa,2003,5.0,92
Maricopa,2003,6.0,114
Maricopa,2003,7.0,181
Maricopa,2003,8.0,180
Maricopa,2003,9.0,171
Maricopa,2003,10.0,209
Maricopa,2003,11.0,142
Maricopa,2003,12.0,305
Maricopa,2004,1.0,226
Maricopa,2004,2.0,271
Maricopa,2004,3.0,196
Maricopa,2004,4.0,166
Maricopa,2004,5.0,160
Maricopa,2004,6.0,209
Maricopa,2004,7.0,239
Maricopa,2004,8.0,272
Maricopa,2004,9.0,262
Maricopa,2004,10.0,221
Maricopa,2004,11.0,278
Maricopa,2004,12.0,202
Maricopa,2005,1.0,135
Maricopa,2005,2.0,124
Maricopa,2005,3.0,96
Maricopa,2005,4.0,131
Maricopa,2005,5.0,172
Maricopa,2005,6.0,141
Maricopa,2005,7.0,152
Maricopa,2005,8.0,217
Maricopa,2005,9.0,161
Maricopa,2005,10.0,230
Maricopa,2005,11.0,391
Maricopa,2005,12.0,511
Maricopa,2006,1.0,221
Maricopa,2006,2.0,414
Maricopa,2006,3.0,526
Maricopa,2006,4.0,403
Maricopa,2006,5.0,305
Maricopa,2006,6.0,330
Maricopa,2006,7.0,353
Maricopa,2006,8.0,340
Maricopa,2006,9.0,193
Maricopa,2006,10.0,221
Maricopa,2006,11.0,298
Maricopa,2006,12.0,605
Maricopa,2007,1.0,326
Maricopa,2007,2.0,309
Maricopa,2007,3.0,280
Maricopa,2007,4.0,288
Maricopa,2007,5.0,245
Maricopa,2007,6.0,233
Maricopa,2007,7.0,296
Maricopa,2007,8.0,282
Maricopa,2007,9.0,208
Maricopa,2007,10.0,255
Maricopa,2007,11.0,354
Maricopa,2007,12.0,379
Maricopa,2008,1.0,304
Maricopa,2008,2.0,302
Maricopa,2008,3.0,235
Maricopa,2008,4.0,248
Maricopa,2008,5.0,315
Maricopa,2008,6.0,229
Maricopa,2008,7.0,246
Maricopa,2008,8.0,226
Maricopa,2008,9.0,260
Maricopa,2008,10.0,243
Maricopa,2008,11.0,352
Maricopa,2008,12.0,546
Maricopa,2009,1.0,424
Maricopa,2009,2.0,246
Maricopa,2009,3.0,287
Maricopa,2009,4.0,287
Maricopa,2009,5.0,361
Maricopa,2009,6.0,1009
Maricopa,2009,7.0,898
Maricopa,2009,8.0,799
Maricopa,2009,9.0,924
Maricopa,2009,10.0,866
Maricopa,2009,11.0,1076
Maricopa,2009,12.0,910
Maricopa,2010,1.0,736
Maricopa,2010,2.0,646
Maricopa,2010,3.0,735
Maricopa,2010,4.0,552
Maricopa,2010,5.0,663
Maricopa,2010,6.0,703
Maricopa,2010,7.0,673
Maricopa,2010,8.0,774
Maricopa,2010,9.0,727
Maricopa,2010,10.0,915
Maricopa,2010,11.0,1085
Maricopa,2010,12.0,1251
Maricopa,2011,1.0,1178
Maricopa,2011,2.0,1030
Maricopa,2011,3.0,1145
Maricopa,2011,4.0,1101
Maricopa,2011,5.0,1099
Maricopa,2011,6.0,1124
Maricopa,2011,7.0,1112
Maricopa,2011,8.0,1272
Maricopa,2011,9.0,958
Maricopa,2011,10.0,994
Maricopa,2011,11.0,1200
Maricopa,2011,12.0,1192
Maricopa,2012,1.0,1056
Maricopa,2012,2.0,852
Maricopa,2012,3.0,1089
Maricopa,2012,4.0,1239
Maricopa,2012,5.0,1078
Maricopa,2012,6.0,1018
Maricopa,2012,7.0,882
Maricopa,2012,8.0,587
Maricopa,2012,9.0,494
Maricopa,2012,10.0,637
Maricopa,2012,11.0,713
Maricopa,2012,12.0,501
Maricopa,2013,1.0,495
Maricopa,2013,2.0,352
Maricopa,2013,3.0,205
Maricopa,2013,4.0,257
Maricopa,2013,5.0,283
Maricopa,2013,6.0,292
Maricopa,2013,7.0,308
Maricopa,2013,8.0,338
Maricopa,2013,9.0,301
Maricopa,2013,10.0,330
Maricopa,2013,11.0,473
Maricopa,2013,12.0,480
Maricopa,2014,1.0,390
Maricopa,2014,2.0,441
Maricopa,2014,3.0,431
Maricopa,2014,4.0,382
Maricopa,2014,5.0,436
Maricopa,2014,6.0,339
Maricopa,2014,7.0,234
Maricopa,2014,8.0,221
Maricopa,2014,9.0,264
Maricopa,2014,10.0,226
Maricopa,2014,11.0,204
Maricopa,2014,12.0,332
Maricopa,2015,1.0,235
Maricopa,2015,2.0,268
Maricopa,2015,3.0,294
Maricopa,2015,4.0,352
Maricopa,2015,5.0,411
Maricopa,2015,6.0,373
Maricopa,2015,7.0,518
Maricopa,2015,8.0,524
Maricopa,2015,9.0,692
Maricopa,2015,10.0,572
Maricopa,2015,11.0,540
Maricopa,2015,12.0,548
